HEX;R;G;B;CIE_L;CIE_A;CIE_B;English;French
#FA8072;250;128;114;67.26;45.57;28.53; Salmon;Saumon
#FF0000;255;0;0;53.23;80.42;66.97; Red;Rouge
#8B0000;139;0;0;28.08;51.21;41.19; Dark Red;Rouge Foncé
#FFC0CB;255;192;203;83.58;24.53;2.49; Pink;Rose
#C71585;199;21;133;44.76;71.28;-15.77; Medium Violet Red;Violet Rouge
#FF7F50;255;127;80;67.29;45.70;47.02; Coral;Corail
#FFA500;255;165;0;74.93;24.28;78.58; Orange;Orange
#FFFF00;255;255;0;97.14;-21.17;93.99; Yellow;Jaune
#FFDAB9;255;218;185;89.35;8.47;20.23; Peach Puff;Pêche
76B;189;183;107;73.38;-8.48;38.73; Dark Khaki;Kaki Foncé
#E6E6FA;230;230;250;91.83;4.10;-10.63; Lavender;Lavande
#800080;128;0;128;29.78;59.15;-37.06; Purple;Violet
#FF00FF;255;0;255;60.32;98.61;-61.78; Fuchsia;Fuchsia
#8A2BE2;138;43;226;42.19;70.12;-75.63; Blue Violet;Bleu Violet
#DDA0DD;221;160;221;73.37;32.89;-22.86; Plum;Prune
#00FF00;0;255;0;87.74;-85.89;82.71; Lime;Vert flash
#008000;0;128;0;46.23;-51.52;49.62; Green;Vert
#808000;128;128;0;51.87;-12.70;56.38; Olive;Olive
#008080;0;128;128;48.26;-28.64;-9.06; Teal;Saphir
#00FFFF;0;255;255;91.12;-47.74;-15.11; Cyan;Cyan
#7FFFD4;127;255;212;92.04;-45.17;8.85; Aquamarine;Bleu vert
#40E0D0;64;224;208;81.27;-43.77;-4.87; Turquoise;Turquoise
#ADD8E6;173;216;230;83.81;-10.54;-12.38; Light Blue;Bleu clair
#0000FF;0;0;255;32.30;79.43;-108.80; Blue;Bleu
#000080;0;0;128;12.98;47.65;-65.26; Navy;Bleu Marine
#F5DEB3;245;222;179;89.35;1.89;23.23; Wheat;Blé
#DEB887;222;184;135;77.02;7.39;29.38; Burly Wood;Beige Foncé
#D2691E;210;105;30;55.99;37.35;56.41; Chocolate;Chocolat
#A52A2A;165;42;42;37.52;49.93;30.24; Brown;Marron brun
#800000;128;0;0;25.53;48.24;37.97; Maroon;Bordeaux
#FFFFFF;255;255;255;100.00;0.42;-0.99; White;Blanc
#D3D3D3;211;211;211;84.56;0.36;-0.86; Light Gray;Gris clair
#808080;128;128;128;53.59;0.25;-0.59; Gray;Gris
#000000;0;0;0;0.00;0.00;0.00; Black;Noir
